,Fuel_Type,Temperature_C,Pressure_atm,Thrust_kN,Efficiency_Percent,Reactor_Stability,Oxygen_Level_Percent,Target_Planet,Power_Index
0,HydroX-9,3200.0,85.4,1450.0,88.5,Stable,21.3,Mars,128325.0
1,NebulaFuel-3,2800.0,94.7,1200.0,76.2,Unstable,19.8,Venus,91440.0
2,PlasmaCore-7,4100.0,120.3,2100.0,92.1,Stable,22.7,Jupiter,193410.0
3,CryoBlast-2,1900.0,60.1,850.0,65.4,Stable,20.1,Moon,55590.00000000001
4,HydroX-9,3500.0,95.2,1680.0,90.3,Stable,21.66216216216216,Mars,151704.0
5,NebulaFuel-3,2600.0,72.8,980.0,71.5,Unstable,18.9,Venus,70070.0
6,TitanFlare-5,3800.0,110.5,1920.0,85.7,Stable,23.1,Saturn,164544.0
7,CryoBlast-2,2100.0,65.3,920.0,68.2,Stable,20.5,Moon,62744.0
8,PlasmaCore-7,4300.0,94.7,2350.0,94.6,Stable,24.0,Jupiter,222310.0
9,HydroX-9,3100.0,82.7,1380.0,86.2,Stable,21.0,Mars,118956.0
10,NebulaFuel-3,2900.0,78.4,1100.0,74.8,Unstable,19.2,Mars,82280.0
11,TitanFlare-5,3256.5789473684213,115.2,2050.0,88.9,Stable,23.5,Saturn,182245.0
12,CryoBlast-2,1800.0,58.6,790.0,62.1,Unstable,19.5,Moon,49059.0
13,PlasmaCore-7,4500.0,135.7,2600.0,96.3,Stable,25.1,Jupiter,250380.0
14,HydroX-9,3300.0,88.1,1520.0,89.4,Stable,21.5,Mars,135888.0
15,NebulaFuel-3,2700.0,75.6,1050.0,73.1,Unstable,21.66216216216216,Venus,76755.0
16,TitanFlare-5,3900.0,118.3,2150.0,87.4,Stable,22.9,Saturn,187910.0
17,CryoBlast-2,2200.0,68.9,960.0,70.3,Stable,20.8,Moon,67488.0
18,PlasmaCore-7,4200.0,128.4,2420.0,95.1,Stable,24.5,Mars,230142.0
19,HydroX-9,3400.0,94.7,1600.0,91.0,Stable,21.8,Mars,145600.0
20,NebulaFuel-3,2500.0,70.2,900.0,69.7,Unstable,18.5,Venus,62730.0
21,TitanFlare-5,4000.0,122.1,2200.0,89.6,Stable,23.3,Jupiter,197120.0
22,CryoBlast-2,3256.5789473684213,62.4,870.0,66.8,Stable,20.3,Moon,58116.0
23,PlasmaCore-7,4400.0,132.5,2500.0,95.8,Stable,24.8,Jupiter,239500.0
24,HydroX-9,3600.0,98.5,1750.0,90.7,Stable,22.1,Mars,158725.0
25,NebulaFuel-3,3000.0,80.1,1150.0,77.4,Unstable,19.6,Mars,89010.0
26,TitanFlare-5,3700.0,108.7,1980.0,86.5,Stable,21.66216216216216,Saturn,171270.0
27,CryoBlast-2,2000.0,63.7,830.0,64.0,Unstable,19.7,Moon,53120.0
28,PlasmaCore-7,4600.0,140.2,2700.0,97.0,Stable,25.5,Jupiter,261900.0
29,HydroX-9,3050.0,81.3,1320.0,85.0,Stable,20.8,Moon,112200.0
30,NebulaFuel-3,2650.0,94.7,1020.0,72.3,Unstable,19.0,Venus,73746.0
31,TitanFlare-5,3850.0,112.9,2080.0,88.1,Stable,23.2,Saturn,183248.0
32,CryoBlast-2,2150.0,66.5,910.0,67.5,Stable,20.4,Moon,61425.0
33,PlasmaCore-7,4150.0,125.6,2380.0,94.2,Stable,24.2,Mars,224196.0
34,HydroX-9,3250.0,86.0,1470.0,87.8,Stable,21.2,Mars,129066.0
35,NebulaFuel-3,2850.0,94.7,1080.0,75.5,Unstable,19.4,Venus,81540.0
36,TitanFlare-5,3950.0,120.8,2130.0,89.0,Stable,23.0,Jupiter,189570.0
37,CryoBlast-2,1950.0,61.0,810.0,63.3,Stable,20.0,Moon,51273.0
38,PlasmaCore-7,4350.0,130.1,1558.7179487179487,95.5,Stable,24.6,Jupiter,148857.5641025641
39,HydroX-9,3450.0,92.4,1640.0,90.1,Stable,21.7,Mars,147764.0
